date,beta,market_cap,vol10,momentum
2013/08/02,0.10790847493503679,0.6047531488618798,-0.14130358504550675,0.24046131440926
2013/08/09,0.15330391803932442,0.41597515395030077,-0.11167225460591927,0.34162532265449386
2013/08/16,0.08675508419971842,0.39994069962468526,-0.04233561537511172,0.2789950319936798
2013/08/23,0.0012222753797013221,0.5021139280029446,-0.4855064951888517,0.2810988180582241
2013/08/30,0.1276354606642676,0.4178589541296351,-0.26816574336360516,0.3875690945313232
2013/09/06,0.1038527321045336,0.40775563111477847,-0.15802871944523258,0.3065001572557688
2013/09/13,0.15558851305489643,0.4096258090342008,-0.10793540981760429,0.3110274006883584
2013/09/20,0.17373802722433368,0.5159570455992558,-0.08404850488066831,0.20929216651514107
2013/09/27,0.11072128112554208,0.4533691131254379,-0.16696030694058736,0.19404481726643794
2013/10/04,0.15653606115847127,0.385292303934744,-0.034371411349599104,0.2685409615052768
2013/10/11,0.08681422184802998,0.3588950485078707,0.01438246522325792,0.1745697977397864
2013/10/18,0.2038680032825206,0.4141569149906882,-0.02161798598823714,0.18656665844397172
2013/10/25,0.14800877020245334,0.4809941597543852,-0.04204207715037931,0.1783103291731348
2013/11/01,0.07483482771604638,0.5997951403795598,0.08480539263368775,0.05702348320983532
2013/11/08,0.13331714438567974,0.5369603182717247,0.09388615318614883,0.19491150263097579
2013/11/15,0.16862952473499118,0.4693780887074739,-0.16742773716278392,0.2395443257648696
2013/11/22,0.13535434785830883,0.4570592608835589,-0.2641220461494496,0.1685770623131121
2013/11/29,0.12934576261651032,0.3314571851371599,-0.36395453264858724,0.15704316971132612
2013/12/06,0.09050853807758064,0.3911849666900638,-0.07071351571978574,0.22058587260918303
2013/12/13,0.04739302750118298,0.4264559336655145,0.16627705103892682,0.3138699514422877
2013/12/20,0.11212703697344104,0.463857713436757,0.16414882634281774,0.24505284242441433
2013/12/27,0.11900621178721317,0.5092681783737771,0.0932474412115746,0.24511756209093383
2014/01/03,0.17968933560580974,0.45325372563713795,0.0645678519672747,0.14099896456836444
2014/01/10,0.21362093887344208,0.5277343925075021,0.037248403720193383,0.16807593791926662
2014/01/17,0.15137867661337523,0.42479355948955666,0.06402687054381753,0.28806422916156854
2014/01/24,0.13089621979038707,0.47388431361645733,0.07623234159083506,0.23793588866312335
2014/01/31,0.12686099655570723,0.6999888042783028,-0.09305955624042088,0.23270539434003737
2014/02/07,0.16668855516783293,0.5414306900651178,0.3395687452161032,0.1896063760282632
2014/02/14,0.16002804859583175,0.5463420623933121,0.07373400019624116,0.2971186534149072
2014/02/21,0.12351781473398553,0.6795633830064939,0.15357897960531142,0.2160782840994053
2014/02/28,0.2089016557984994,0.5168673246005661,-0.10593469726929855,0.22278230886229006
2014/03/07,0.2314442125962292,0.3732279845301877,-0.342634220740414,0.20726988530347476
2014/03/14,0.6244293323981613,0.26695326590684043,-0.15325727215887283,0.252700721882715
2014/03/21,0.15554479586824,0.24320020391728675,-0.35717175251323263,0.15875923726320637
2014/03/28,0.49414551577104054,0.28623804198404396,-0.1079233990162277,0.189006589445072
2014/04/04,0.6170345570385805,0.495878076599866,0.039152032240543554,0.09398640190495143
2014/04/11,0.7871046382409163,0.5141624103169362,0.11224667833151254,0.04426633724480453
2014/04/18,0.6886753623738856,0.6623640388563263,0.2267614297131986,0.0685356518553667
2014/04/25,1.0291725755400218,0.5288065266894351,-0.07547402046730749,0.13403250665950994
2014/05/02,1.3535667664491735,0.4266176435515388,-0.22361049687235338,0.16843794110592358
2014/05/09,1.2972606566101186,0.5804376759660459,-0.3865557212908126,0.29201358244133624
2014/05/16,0.7596289288622337,0.28629798203221996,-0.4306120123967716,0.27404554723211716
2014/05/23,0.9987871912332131,0.4987227967044789,-0.4372914583106051,0.09974145032249411
2014/05/30,0.9776081202138506,0.5975155871936585,0.18230654693988987,0.05818722747848988
2014/06/06,1.5106200918735022,0.505867059027911,-0.111603542430139,0.06737085582176267
2014/06/13,1.3043777319856225,0.43843422106410396,-0.06910672085146348,0.11885949665993051
2014/06/20,0.18029680983429477,0.4609017127528537,-0.01532372753582485,0.07954267108612333
2014/06/27,0.19185753731199948,0.343425615535762,-0.19520502470635487,0.10833468149435806
2014/07/04,0.14274589956578532,0.31445784254710996,-0.17217394133379307,0.0578094920874204
2014/07/11,0.17951050533757498,0.4711759643637167,-0.38570056670183983,0.19367370869120223
2014/07/18,0.11420088875421824,0.5407869279344807,-0.10438925842146565,0.26927784077152095
2014/07/25,-0.10856141897501528,0.5754297171802742,-0.012743229319281933,0.5281504394199803
2014/08/01,0.3231779435303412,0.6946421096535575,0.06176169404388257,0.2528259875272276
2014/08/08,0.8880873889449107,0.6539917000467479,0.10944131985445793,0.03554219555466265
2014/08/15,1.4795844315474214,0.3749756522291692,-0.09203959178177577,0.04868735422944406
2014/08/22,1.2216344711885494,0.3575307689083885,-0.058313394017658456,0.05185340060961167
2014/08/29,1.998486818796018,0.4799428801367464,-0.08231321225546871,0.13176864742165523
2014/09/05,1.2606102092473555,0.5568375176834798,-0.19760100414908507,0.16420180732095455
2014/09/12,0.9826935906729057,0.47543151968349123,0.08369252305184924,0.06062123903898275
2014/09/19,1.640495968422265,0.5020711644776763,0.2718407442239406,0.291930239539013
2014/09/26,0.8539365072911494,0.36105157851636716,0.04731833053030299,0.2969423050600997
2014/10/03,0.6933616339162638,0.1167352085064546,0.31238172390136787,0.48077762551868436
2014/10/10,0.8497059051100609,0.49731126990551305,-0.01742603653246217,0.3371684683881638
2014/10/17,-0.22777490920038584,0.7703425917238554,-0.0009783439207164768,0.2515827803418572
2014/10/24,0.32805664579508087,0.4853398388836333,0.11858760689217406,0.22377491708354316
2014/10/31,-0.07588022224888821,0.36648807301755804,-0.013682329430389611,0.14274195216780247
2014/11/07,1.3694038366333237,0.4389788721590185,-0.34751612102215257,0.1718122001763004
